169	e2-kiszib3-ba-sze3	OTHER
169	a2-bi2-li2-a	PN
169	4(asz@c)	OTHER
168	tag-ga	OTHER
168	sze-gin2	OTHER
168	kid	OTHER
168	ba-hun-ga2	OTHER
168	3(asz@t)-kam	OTHER
168	1/2(asz@c)	OTHER
167	simug	OTHER
167	lu-lu-bu-um{ki}	GN
167	a-hu-we-er	PN
167	3(disz)-kam-asz	OTHER
166	szu-nir	OTHER
166	gu2-edin-na	GN
166	gaba-asz	OTHER
165	ur-e2-mah	PN
165	lu2-usz-gi-na	PN
165	kin-{d}inanna	OTHER
165	{gesz}ig	OTHER
164	szu-e2-a	PN
164	gurdub	OTHER
164	al-la-mu	PN
164	a-du-mu	PN
163	ki-ba	OTHER
163	gesz-gi	OTHER
163	ga2-ga2-dam	OTHER
162	sza3-tam	OTHER
162	du-ta	OTHER
161	nig2-ba	OTHER
161	ga2-ra	OTHER
161	duru5	OTHER
161	3(bur'u)	OTHER
160	zal-la	OTHER
160	sze6	OTHER
160	lu2-gu-la	PN
160	e2-kikken-ta	OTHER
160	a-du	PN
159	nu-ub-tuku	OTHER
159	lulim	OTHER
159	ku5-da	PN
158	ur-{d}lugal-banda3{da}	PN
158	an-sza-an{ki}-ta	GN
157	{d}na-na-a	OTHER
157	a2-zi-da	PN
156	ka2	OTHER
156	e2-kiszib3-ba-ta	OTHER
156	a-lu5-lu5	PN
154	usz-mu-ta	PN
154	ur-{d}nu-musz-da	PN
154	igi-kar2	PN
154	ba-du3-a	OTHER
153	sa12-du5-ka	OTHER
152	nam-zi-tar-ra	PN
152	mu-kux(DU)-ra-ta	OTHER
152	kesz2-ra2	OTHER
152	gid2-bi	OTHER
152	{gesz}asal2	OTHER
151	ur-ki-gu-la	PN
151	ur-gu-la	PN
151	HI	OTHER
151	en-du8-du	PN
150	uru11{ki}	GN
150	ur-sag10	PN
150	du11-ga-zi-da	PN
150	1(u)-sze3	OTHER
149	ur-gu2-edin-na-ta	PN
149	tir	OTHER
149	mur-gu4	OTHER
149	ki-nu-nir{ki}	GN
149	e3	OTHER
149	diri-ga	OTHER
149	an-ne2	PN
148	sze-KIN-ku5-sze3	OTHER
148	sa10	OTHER
148	gurusz-e	OTHER
148	{gi}hal	OTHER
147	ur-{d}nin-mar{ki}	PN
147	sza3-ga-du3	OTHER
147	sukud	OTHER
147	sag10-ta	OTHER
147	min	OTHER
147	lugal-iri-da	PN
147	gen	OTHER
147	{d}nin-lil2-la2	OTHER
146	uri5{ki}-sze3	GN
145	ur-{d}a-szar2	PN
145	siki-ba	OTHER
145	1/3(disz){sza}	OTHER
144	kar	OTHER
143	lugal-pa-e3	PN
143	lu2-igi-sa6-sa6	PN
143	ka5-a	PN
143	en-dingir-mu-ta	PN
143	{d}suen	OTHER
142	nig2-gur11	OTHER
142	lugal-{d}isztaran	PN
141	ur-{d}si4-an-na	PN
141	si-du3	PN
141	{d}nin-ti2-ug5-ga	PN
141	{d}ga2-tum3-du10	OTHER
141	{d}dumu-zi-sze3	OTHER
140	ur-szul	PN
140	ur-{d}nansze-ta	OTHER
140	PAP	OTHER
140	ga2-ga2-de3	OTHER
140	egir	OTHER
140	e2-gal-ta	OTHER
140	{d}szara2-ka	PN
139	u5-bi2{muszen}-gu7	OTHER
139	i3-bi	OTHER
139	ha-ba-lu5-ge2	PN
139	a-sza3-ge	OTHER
139	3(szar2)	OTHER
138	szer7-ru-um	OTHER
138	szabra-ta	OTHER
138	lu2-{d}igi-ma-sze3	PN
138	ki-su7-ra	OTHER
138	gi-na	OTHER
138	alan	OTHER
137	uri2{ki}-ma	GN
137	nu-ur4	OTHER
137	na-ra-am-i3-li2-ta	PN
136	nina{ki}	GN
136	nam-erim2-bi	OTHER
136	lugal-uszur4	PN
136	{kusz}e-sir2	OTHER
136	kilib3-ba	OTHER
136	eme6	OTHER
136	e2-kikken	OTHER
136	da-du-mu	PN
136	3(disz)-am3	OTHER
135	u4-da	OTHER
135	lu2-{d}nansze	PN
135	{d}nusku	OTHER
135	9(bur3)	OTHER
134	ur-{d}ha-ia3	PN
134	tum-ma-al	GN
134	gu4-si-su	OTHER
134	a-hu-ni-ta	PN
133	ur-{d}szusz3-{d}ba-ba6	PN
133	pesz	OTHER
133	ma2-gur8-re	OTHER
133	lu2-gi-na-ta	PN
133	kun	OTHER
133	gu-du-du-ta	PN
133	{d}nanna-sze3	OTHER
133	{d}iszkur-ba-ni	PN
133	{d}amar-{d}suen-ra	OTHER
132	tukum-bi	OTHER
132	sze-a	OTHER
132	lugal-ur2-ra-ni	PN
132	{kusz}suhub2	OTHER
132	ku3-dim2	OTHER
132	in-la2	OTHER
132	8(disz)-sze3	OTHER
131	tum-ma-al{ki}	GN
131	PA	OTHER
131	nir-i3-da-gal2	PN
131	ba-zi-ge	PN
131	bara2	OTHER
130	ur-{d}en-ki	PN
130	u2-hab2	OTHER
130	…-sze3	OTHER
129	szu-numun-a	OTHER
129	szu-i	OTHER
129	im-babbar2	OTHER
129	gan-gan-e3	OTHER
129	e2-a-i3-li2	PN
129	ba-la2	OTHER
128	ur3-re-ba-du7	PN
128	lugal-uszur3	PN
128	gurusz-bi	OTHER
128	gesz-kin-ti	OTHER
128	e2-udu	OTHER
128	da-a-a	PN
128	bi2-gu7-bi	OTHER
128	bar-dul5	OTHER
127	di-ku5	OTHER
127	ba-a	PN
126	tu-gur4{muszen}	OTHER
126	szu-{d}utu	PN
126	szar-ru-um-i3-li2	PN
126	{gesz}na2	OTHER
126	da-a-gi4	PN
126	bar-ra	OTHER
125	mug	OTHER
125	lugal-a2-zi-da-ta	PN
125	la2-mah-ta	PN
125	en-dingir-mu	PN
125	e2-iti-6(disz)	OTHER
125	{d}szara2-za-me	PN
125	a2-ge6-ba-a	PN
124	sal4-la	OTHER
124	lugal-ukken-ne2	PN
124	5(asz@c)	OTHER
123	KI-AN{ki}	GN
123	gaba-ta	OTHER
123	da-da-a	PN
123	bala-sze3	OTHER
123	adab{ki}	GN
122	ur-{d}suen-ta	PN
122	lugal-nir	PN
122	i3-lal3-lum	PN
121	ur-zikum-ma	PN
121	{uruda}kin	OTHER
121	ur-sag-ub3{ki}	PN
121	{kusz}a-ga2-la2	OTHER
121	kikken	OTHER
121	ir3	OTHER
121	gu4-ra2-bi2-mu2	OTHER
121	{gesz}geszimmar	OTHER
121	er3-ra-ba-ni	PN
121	dub-la2	OTHER
121	ba-ba-ti	PN
120	nu-a	OTHER
120	en-du8-du-ta	PN
119	szesz-szesz	PN
119	lugal-sza3-la2	PN
119	GI	OTHER
119	dalla	OTHER
118	ur-e11-e-ta	PN
118	ur-{d}szul-gi-ra	PN
118	u2-ta2-mi-szar-ra-am	PN
118	pa	OTHER
118	na	OTHER
118	{gi}ma-an-sim	OTHER
118	ar-za-na	OTHER
117	udu-bi	OTHER
117	tug2-gur10	OTHER
117	ra-gaba	OTHER
117	nam-erim2-am3	OTHER
117	lugal-{gesz}kiri6	PN
117	lu2-{d}nam2-an-ka	PN
117	ir7{muszen}	OTHER
117	{d}nin-a-zu	OTHER
117	{d}nanna-a	OTHER
116	lugal-sze3	OTHER
116	kiszib3-ba	OTHER
116	da-da-ga-ta	PN
115	uri2{ki}-ma-ke4	GN
115	im-ma	OTHER
115	gub-ba-me	OTHER
115	ge6-ba-a	OTHER
115	ba-gara2	OTHER
115	a-bu-ni	PN
114	ur-bi2-i3-lum{ki}	GN
114	na-ni	OTHER
114	lu2-du10-ga-ta	PN
114	{gesz}dih3	OTHER
114	DISZ	PN
113	uri5{ki}-ma-ra	GN
113	u-bar	OTHER
113	tug2-ba	OTHER
113	ri-ri-ga-am3	OTHER
113	ma-ni	PN
113	lu-lu-bu	GN
113	lu2-{d}nin-ur4-ra	PN
113	i3-ba	OTHER
113	ar-szi-ah	PN
113	apin-la2	OTHER
113	a-gar	OTHER
113	7(disz)-sze3	OTHER
112	szu-a	OTHER
112	se3-ga	OTHER
112	ka-ma-ri2{ki}	GN
112	ba-an-tuku	OTHER
112	ba-an-gar	OTHER
112	a-da-ga	OTHER
111	uri5{ki}	GN
111	|U8+HUL2|	OTHER
111	szandana	OTHER
111	lugal-ezem-ta	PN
111	lu2-{d}nin-szubur-ta	PN
111	{gi}pisan	OTHER
111	ab-ba-sag10	PN
110	sza3-bi	OTHER
110	su3	OTHER
110	i3-kal-la-ta	PN
110	GAN2-masz-ta	OTHER
110	a-e3-a	OTHER
109	x-x-x	OTHER
109	ur-e2-nun-na	PN
109	ninda-ta	OTHER
109	kas4-ta	OTHER
109	kab2-du11-ga	OTHER
109	en-nu	PN
109	{d}nanna-kam	PN
109	ba-sa6-ga	PN
109	5(disz)-am3	OTHER
108	nu-su	OTHER
108	nagar-me	OTHER
108	lugal-u2-szim-e	PN
108	gir	OTHER
108	{d}iszkur	OTHER
